Site, Member, Distance, Distance_Value, Duration, Duration_value
1,1,19.3 mi,2697,45 mins,2697
1,2,17.6 mi,2037,34 mins,2037
1,3,11.7 mi,1536,26 mins,1536
1,4,26.2 mi,2700,45 mins,2700
1,5,23.8 mi,2724,45 mins,2724
1,6,15.0 mi,2179,36 mins,2179
1,7,18.0 mi,2154,36 mins,2154
1,8,17.4 mi,2103,35 mins,2103
1,9,24.5 mi,2559,43 mins,2559
1,10,8.5 mi,1281,21 mins,1281
1,11,53.9 mi,4463,1 hour 14 mins,4463
1,12,14.0 mi,1578,26 mins,1578
1,13,12.3 mi,1761,29 mins,1761
1,14,17.8 mi,1993,33 mins,1993
1,15,18.3 mi,2643,44 mins,2643
1,16,14.2 mi,1709,28 mins,1709
1,17,25.4 mi,2523,42 mins,2523
1,18,19.2 mi,1972,33 mins,1972
1,19,12.6 mi,1355,23 mins,1355
1,20,21.8 mi,2438,41 mins,2438
1,21,33.8 mi,2731,46 mins,2731
1,22,22.8 mi,2285,38 mins,2285
1,23,11.1 mi,1306,22 mins,1306
1,24,20.9 mi,2851,48 mins,2851
1,25,16.9 mi,2120,35 mins,2120
1,26,15.6 mi,1665,28 mins,1665
1,27,17.8 mi,2414,40 mins,2414
1,28,24.4 mi,2576,43 mins,2576
1,29,26.2 mi,2672,45 mins,2672
1,30,12.8 mi,1999,33 mins,1999
1,31,21.0 mi,2131,36 mins,2131
1,32,19.3 mi,2685,45 mins,2685
1,33,11.9 mi,1869,31 mins,1869
1,34,20.3 mi,2226,37 mins,2226
1,35,12.3 mi,2001,33 mins,2001
1,36,22.8 mi,2515,42 mins,2515
1,37,44.8 mi,3957,1 hour 6 mins,3957
1,38,15.6 mi,2133,36 mins,2133
1,39,11.7 mi,1578,26 mins,1578
1,40,24.5 mi,2326,39 mins,2326
1,41,34.3 mi,2900,48 mins,2900
1,42,27.2 mi,2867,48 mins,2867
1,43,33.6 mi,2862,48 mins,2862
1,44,15.4 mi,2196,37 mins,2196
1,45,10.1 mi,1421,24 mins,1421
1,46,20.2 mi,2878,48 mins,2878
1,47,18.5 mi,2738,46 mins,2738
1,48,29.4 mi,3100,52 mins,3100
1,49,18.5 mi,2327,39 mins,2327
1,50,20.5 mi,2081,35 mins,2081
1,51,17.4 mi,2117,35 mins,2117
1,52,20.1 mi,2153,36 mins,2153
1,53,15.0 mi,1653,28 mins,1653
1,54,11.1 mi,1410,24 mins,1410
1,55,33.1 mi,2488,41 mins,2488
1,56,35.0 mi,3368,56 mins,3368
1,57,17.9 mi,1993,33 mins,1993
1,58,16.8 mi,2516,42 mins,2516
1,59,50.5 mi,3755,1 hour 3 mins,3755
1,60,20.6 mi,2248,37 mins,2248
1,61,14.7 mi,1614,27 mins,1614
1,62,16.9 mi,1945,32 mins,1945
1,63,12.7 mi,1838,31 mins,1838
1,64,21.2 mi,2359,39 mins,2359
1,65,31.0 mi,3233,54 mins,3233
1,66,28.3 mi,2929,49 mins,2929
1,67,20.6 mi,2795,47 mins,2795
1,68,21.1 mi,2157,36 mins,2157
1,69,33.1 mi,2488,41 mins,2488
1,70,14.4 mi,2025,34 mins,2025
1,71,13.0 mi,2185,36 mins,2185
1,72,20.8 mi,2360,39 mins,2360
1,73,23.8 mi,2385,40 mins,2385
1,74,17.8 mi,2579,43 mins,2579
1,75,20.1 mi,2167,36 mins,2167
1,76,9.8 mi,1327,22 mins,1327
1,77,12.9 mi,2204,37 mins,2204
1,78,18.3 mi,1912,32 mins,1912
1,79,33.2 mi,3242,54 mins,3242
1,80,15.2 mi,2107,35 mins,2107
1,81,21.3 mi,2291,38 mins,2291
1,82,11.1 mi,1410,24 mins,1410
1,83,24.9 mi,2700,45 mins,2700
1,84,13.0 mi,2175,36 mins,2175
1,85,18.8 mi,1951,33 mins,1951
1,86,7.9 mi,1142,19 mins,1142
1,87,12.3 mi,1790,30 mins,1790
1,88,17.4 mi,2374,40 mins,2374
1,89,46.1 mi,3678,1 hour 1 min,3678
1,90,19.1 mi,2038,34 mins,2038
1,91,25.2 mi,2714,45 mins,2714
1,92,10.5 mi,1305,22 mins,1305
1,93,20.8 mi,2272,38 mins,2272
1,94,25.5 mi,2867,48 mins,2867
1,95,15.6 mi,1750,29 mins,1750
1,96,23.0 mi,2463,41 mins,2463
1,97,22.5 mi,2721,45 mins,2721
1,98,36.0 mi,2927,49 mins,2927
1,99,21.9 mi,2442,41 mins,2442
1,100,8.2 mi,1200,20 mins,1200
1,101,15.8 mi,1856,31 mins,1856
1,102,15.1 mi,1953,33 mins,1953
1,103,26.9 mi,3044,51 mins,3044
1,104,21.0 mi,2472,41 mins,2472
1,105,15.2 mi,1962,33 mins,1962
1,106,25.0 mi,2721,45 mins,2721
1,107,20.8 mi,2805,47 mins,2805
1,108,13.6 mi,1443,24 mins,1443
1,109,6.4 mi,1014,17 mins,1014
1,110,13.9 mi,2001,33 mins,2001
2,1,3.6 mi,734,12 mins,734
2,2,4.0 mi,1422,24 mins,1422
2,3,10.9 mi,2340,39 mins,2340
2,4,8.9 mi,1107,18 mins,1107
2,5,5.7 mi,1100,18 mins,1100
2,6,3.7 mi,1394,23 mins,1394
2,7,4.5 mi,1525,25 mins,1525
2,8,2.0 mi,988,16 mins,988
2,9,6.6 mi,1074,18 mins,1074
2,10,13.0 mi,2843,47 mins,2843
2,11,34.5 mi,2902,48 mins,2902
2,12,6.9 mi,2007,33 mins,2007
2,13,11.4 mi,2565,43 mins,2565
2,14,14.1 mi,3393,57 mins,3393
2,15,1.9 mi,714,12 mins,714
2,16,6.0 mi,1417,24 mins,1417
2,17,14.0 mi,2078,35 mins,2078
2,18,3.2 mi,1154,19 mins,1154
2,19,8.4 mi,1700,28 mins,1700
2,20,3.8 mi,1383,23 mins,1383
2,21,7.9 mi,1190,20 mins,1190
2,22,16.0 mi,2468,41 mins,2468
2,23,9.4 mi,1869,31 mins,1869
2,24,5.2 mi,888,15 mins,888
2,25,7.8 mi,1900,32 mins,1900
2,26,5.7 mi,1594,27 mins,1594
2,27,8.5 mi,2125,35 mins,2125
2,28,11.8 mi,1529,25 mins,1529
2,29,9.1 mi,1238,21 mins,1238
2,30,11.9 mi,2744,46 mins,2744
2,31,11.4 mi,2256,38 mins,2256
2,32,3.6 mi,722,12 mins,722
2,33,10.8 mi,2374,40 mins,2374
2,34,3.3 mi,1160,19 mins,1160
2,35,11.4 mi,2585,43 mins,2585
2,36,5.6 mi,1066,18 mins,1066
2,37,26.0 mi,2332,39 mins,2332
2,38,11.0 mi,2536,42 mins,2536
2,39,10.8 mi,2382,40 mins,2382
2,40,19.1 mi,2762,46 mins,2762
2,41,34.1 mi,3036,51 mins,3036
2,42,15.7 mi,2422,40 mins,2422
2,43,33.4 mi,2998,50 mins,2998
2,44,2.7 mi,1000,17 mins,1000
2,45,7.6 mi,2394,40 mins,2394
2,46,4.5 mi,915,15 mins,915
2,47,2.0 mi,746,12 mins,746
2,48,10.8 mi,1528,25 mins,1528
2,49,3.8 mi,1440,24 mins,1440
2,50,4.8 mi,1636,27 mins,1636
2,51,3.4 mi,1343,22 mins,1343
2,52,3.3 mi,1191,20 mins,1191
2,53,6.0 mi,1915,32 mins,1915
2,54,10.3 mi,2214,37 mins,2214
2,55,7.2 mi,948,16 mins,948
2,56,19.0 mi,2001,33 mins,2001
2,57,4.7 mi,1691,28 mins,1691
2,58,0.4 mi,171,3 mins,171
2,59,50.3 mi,3892,1 hour 5 mins,3892
2,60,25.8 mi,3577,1 hour 0 mins,3577
2,61,23.3 mi,3249,54 mins,3249
2,62,3.7 mi,1227,20 mins,1227
2,63,10.3 mi,2326,39 mins,2326
2,64,4.5 mi,1618,27 mins,1618
2,65,15.1 mi,1865,31 mins,1865
2,66,13.3 mi,1702,28 mins,1702
2,67,4.9 mi,832,14 mins,832
2,68,11.8 mi,2370,40 mins,2370
2,69,7.2 mi,948,16 mins,948
2,70,3.6 mi,1284,21 mins,1284
2,71,12.1 mi,2768,46 mins,2768
2,72,9.3 mi,1915,32 mins,1915
2,73,9.0 mi,1086,18 mins,1086
2,74,9.0 mi,2380,40 mins,2380
2,75,3.3 mi,1168,19 mins,1168
2,76,8.5 mi,2223,37 mins,2223
2,77,11.8 mi,2751,46 mins,2751
2,78,6.8 mi,1558,26 mins,1558
2,79,17.8 mi,2026,34 mins,2026
2,80,10.6 mi,2509,42 mins,2509
2,81,4.4 mi,1554,26 mins,1554
2,82,10.3 mi,2214,37 mins,2214
2,83,6.5 mi,1019,17 mins,1019
2,84,12.1 mi,2758,46 mins,2758
2,85,2.6 mi,1047,17 mins,1047
2,86,16.5 mi,2777,46 mins,2777
2,87,11.5 mi,2594,43 mins,2594
2,88,8.6 mi,2184,36 mins,2184
2,89,37.6 mi,3221,54 mins,3221
2,90,5.4 mi,1816,30 mins,1816
2,91,8.1 mi,1161,19 mins,1161
2,92,13.1 mi,2845,47 mins,2845
2,93,9.4 mi,1827,30 mins,1827
2,94,20.2 mi,2175,36 mins,2175
2,95,5.5 mi,1505,25 mins,1505
2,96,4.0 mi,1290,22 mins,1290
2,97,5.6 mi,1009,17 mins,1009
2,98,35.8 mi,3064,51 mins,3064
2,99,4.2 mi,1475,25 mins,1475
2,100,13.3 mi,2817,47 mins,2817
2,101,3.7 mi,1548,26 mins,1548
2,102,10.5 mi,2356,39 mins,2356
2,103,9.3 mi,1265,21 mins,1265
2,104,26.2 mi,3773,1 hour 3 mins,3773
2,105,10.6 mi,2365,39 mins,2365
2,106,17.9 mi,2146,36 mins,2146
2,107,5.1 mi,842,14 mins,842
2,108,9.1 mi,1922,32 mins,1922
2,109,11.7 mi,2410,40 mins,2410
2,110,4.0 mi,1443,24 mins,1443
3,1,17.4 mi,1983,33 mins,1983
3,2,7.9 mi,1446,24 mins,1446
3,3,17.5 mi,2420,40 mins,2420
3,4,14.1 mi,1724,29 mins,1724
3,5,13.0 mi,1787,30 mins,1787
3,6,11.9 mi,2108,35 mins,2108
3,7,8.4 mi,1463,24 mins,1463
3,8,11.0 mi,1817,30 mins,1817
3,9,12.4 mi,1589,26 mins,1589
3,10,23.7 mi,2770,46 mins,2770
3,11,36.2 mi,2988,50 mins,2988
3,12,10.8 mi,1717,29 mins,1717
3,13,18.0 mi,2644,44 mins,2644
3,14,15.6 mi,2178,36 mins,2178
3,15,17.7 mi,2079,35 mins,2079
3,16,11.1 mi,1644,27 mins,1644
3,17,4.3 mi,814,14 mins,814
3,18,12.3 mi,1655,28 mins,1655
3,19,11.2 mi,1457,24 mins,1457
3,20,8.0 mi,1358,23 mins,1358
3,21,13.3 mi,1833,31 mins,1833
3,22,7.1 mi,1294,22 mins,1294
3,23,13.0 mi,1791,30 mins,1791
3,24,16.0 mi,1986,33 mins,1986
3,25,7.3 mi,1339,22 mins,1339
3,26,8.4 mi,1331,22 mins,1331
3,27,7.1 mi,1444,24 mins,1444
3,28,10.6 mi,1496,25 mins,1496
3,29,14.6 mi,1783,30 mins,1783
3,30,11.3 mi,2060,34 mins,2060
3,31,6.8 mi,1295,22 mins,1295
3,32,17.4 mi,1972,33 mins,1972
3,33,12.0 mi,1984,33 mins,1984
3,34,11.8 mi,1577,26 mins,1577
3,35,11.4 mi,2052,34 mins,2052
3,36,11.3 mi,1626,27 mins,1626
3,37,22.3 mi,2208,37 mins,2208
3,38,11.2 mi,2045,34 mins,2045
3,39,17.4 mi,2461,41 mins,2461
3,40,10.2 mi,1588,26 mins,1588
3,41,19.2 mi,1910,32 mins,1910
3,42,7.6 mi,1276,21 mins,1276
3,43,18.5 mi,1872,31 mins,1872
3,44,11.7 mi,2052,34 mins,2052
3,45,12.7 mi,2149,36 mins,2149
3,46,16.9 mi,2140,36 mins,2140
3,47,17.8 mi,2079,35 mins,2079
3,48,14.9 mi,1978,33 mins,1978
3,49,8.0 mi,1359,23 mins,1359
3,50,6.8 mi,1088,18 mins,1088
3,51,9.4 mi,1517,25 mins,1517
3,52,12.0 mi,1682,28 mins,1682
3,53,8.8 mi,1546,26 mins,1546
3,54,16.8 mi,2293,38 mins,2293
3,55,12.7 mi,1620,27 mins,1620
3,56,13.8 mi,1691,28 mins,1691
3,57,7.0 mi,1226,20 mins,1226
3,58,11.7 mi,2175,36 mins,2175
3,59,35.9 mi,2729,45 mins,2729
3,60,16.9 mi,2404,40 mins,2404
3,61,18.4 mi,2230,37 mins,2230
3,62,8.8 mi,1255,21 mins,1255
3,63,11.7 mi,2018,34 mins,2018
3,64,7.8 mi,1284,21 mins,1284
3,65,12.8 mi,1749,29 mins,1749
3,66,8.2 mi,1278,21 mins,1278
3,67,15.7 mi,1931,32 mins,1931
3,68,5.9 mi,1318,22 mins,1318
3,69,12.7 mi,1620,27 mins,1620
3,70,12.3 mi,2270,38 mins,2270
3,71,10.6 mi,1887,31 mins,1887
3,72,3.0 mi,976,16 mins,976
3,73,12.2 mi,1495,25 mins,1495
3,74,9.0 mi,1556,26 mins,1556
3,75,11.9 mi,1609,27 mins,1609
3,76,15.0 mi,2312,39 mins,2312
3,77,10.7 mi,1936,32 mins,1936
3,78,7.7 mi,1078,18 mins,1078
3,79,12.3 mi,1596,27 mins,1596
3,80,10.8 mi,2077,35 mins,2077
3,81,7.5 mi,1211,20 mins,1211
3,82,16.8 mi,2293,38 mins,2293
3,83,12.8 mi,1730,29 mins,1730
3,84,10.9 mi,1958,33 mins,1958
3,85,12.0 mi,1634,27 mins,1634
3,86,22.3 mi,2533,42 mins,2533
3,87,18.0 mi,2673,45 mins,2673
3,88,7.2 mi,1564,26 mins,1564
3,89,22.5 mi,2062,34 mins,2062
3,90,7.4 mi,1139,19 mins,1139
3,91,12.6 mi,1631,27 mins,1631
3,92,21.6 mi,2489,41 mins,2489
3,93,5.0 mi,1093,18 mins,1093
3,94,1.7 mi,606,10 mins,606
3,95,11.5 mi,1815,30 mins,1815
3,96,10.7 mi,1566,26 mins,1566
3,97,11.5 mi,1902,32 mins,1902
3,98,20.9 mi,1938,32 mins,1938
3,99,8.2 mi,1362,23 mins,1362
3,100,23.4 mi,2690,45 mins,2690
3,101,11.2 mi,1813,30 mins,1813
3,102,11.7 mi,1965,33 mins,1965
3,103,14.8 mi,2034,34 mins,2034
3,104,17.3 mi,2600,43 mins,2600
3,105,11.8 mi,1975,33 mins,1975
3,106,1.4 mi,561,9 mins,561
3,107,15.6 mi,1828,30 mins,1828
3,108,10.3 mi,1532,26 mins,1532
3,109,18.3 mi,2489,41 mins,2489
3,110,12.2 mi,2179,36 mins,2179
4,1,10.5 mi,2245,37 mins,2245
4,2,4.4 mi,1330,22 mins,1330
4,3,8.7 mi,1672,28 mins,1672
4,4,15.5 mi,2137,36 mins,2137
4,5,13.6 mi,2159,36 mins,2159
4,6,4.2 mi,1448,24 mins,1448
4,7,4.8 mi,1446,24 mins,1446
4,8,6.3 mi,1666,28 mins,1666
4,9,13.1 mi,1961,33 mins,1961
4,10,10.8 mi,2175,36 mins,2175
4,11,40.7 mi,3755,1 hour 3 mins,3755
4,12,2.1 mi,799,13 mins,799
4,13,5.5 mi,1711,29 mins,1711
4,14,6.0 mi,1889,31 mins,1889
4,15,10.0 mi,2272,38 mins,2272
4,16,3.0 mi,880,15 mins,880
4,17,10.5 mi,1750,29 mins,1750
4,18,8.1 mi,1535,26 mins,1535
4,19,2.5 mi,709,12 mins,709
4,20,5.3 mi,1710,29 mins,1710
4,21,15.5 mi,2321,39 mins,2321
4,22,12.5 mi,2140,36 mins,2140
4,23,4.3 mi,1043,17 mins,1043
4,24,12.9 mi,2372,40 mins,2372
4,25,2.3 mi,722,12 mins,722
4,26,2.3 mi,855,14 mins,855
4,27,3.2 mi,1080,18 mins,1080
4,28,11.2 mi,1868,31 mins,1868
4,29,15.2 mi,2155,36 mins,2155
4,30,3.3 mi,1199,20 mins,1199
4,31,7.0 mi,1734,29 mins,1734
4,32,10.7 mi,2327,39 mins,2327
4,33,2.8 mi,886,15 mins,886
4,34,9.2 mi,1789,30 mins,1789
4,35,3.5 mi,1097,18 mins,1097
4,36,11.9 mi,1998,33 mins,1998
4,37,28.2 mi,3169,53 mins,3169
4,38,1.7 mi,654,11 mins,654
4,39,8.6 mi,1714,29 mins,1714
4,40,15.7 mi,2434,41 mins,2434
4,41,25.4 mi,2846,47 mins,2846
4,42,11.9 mi,2095,35 mins,2095
4,43,24.7 mi,2808,47 mins,2808
